Player,,Team,RANK,ROUND,WORLD RANKING,AB,R,H,2B,3B,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
ADAMES,Angel,VEN,8,PLACEMENT ROUND,8,24,5,7,1,0,0,1,8,0.292,0.333,0.292,0.625,0,0,5,0,0,1,5,0
ALON,Gil,ISR,10,PLACEMENT ROUND,17,20,1,3,0,0,0,0,3,0.15,0.15,0.261,0.411,3,0,5,1,0,0,0,1
APHANE,Kagiso Frans,RSA,12,PLACEMENT ROUND,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ATTEWELL,Brock Clint-Samuel,NZL,6,SUPER ROUND,7,21,6,7,2,1,1,2,14,0.333,0.667,0.44,1.107,2,2,6,0,0,0,2,0
BAKER,Thomas Aaron,CAN,5,SUPER ROUND,4,7,1,2,1,0,0,1,3,0.286,0.429,0.333,0.762,1,0,2,0,1,0,0,0
BAMBOZZI,Juan Cruz,ARG,3,SUPER ROUND,1,6,3,0,0,0,0,0,0,0,0,0.333,0.333,3,0,4,0,0,0,0,0
BESGROVE,Jack,AUS,1,SUPER ROUND,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BIN MOHAMMAD NOORHAM,Huzaifie,SGP,9,PLACEMENT ROUND,12,29,2,5,0,0,1,4,8,0.172,0.276,0.172,0.448,0,0,9,1,0,0,0,1
BIONDI,Luciano,ARG,3,SUPER ROUND,1,26,3,10,2,0,0,4,12,0.385,0.462,0.448,0.91,3,0,5,0,0,1,6,3
BOBROV,Oren,ISR,10,PLACEMENT ROUND,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0
BRANCHAUD,Tyler,CAN,5,SUPER ROUND,4,5,2,0,0,0,0,0,0,0,0,0.167,0.167,1,0,4,0,0,0,0,0
BROOKS,Connor,CAN,5,SUPER ROUND,4,15,2,2,1,0,0,3,3,0.133,0.2,0.278,0.478,2,1,5,0,0,0,0,0
BUCHNER,Adam,CZE,7,PLACEMENT ROUND,6,12,1,5,0,1,1,5,10,0.417,0.833,0.417,1.25,0,0,3,0,0,0,0,0
BUCHNER,Vojt?ch,CZE,7,PLACEMENT ROUND,6,13,3,2,1,0,1,3,6,0.154,0.462,0.389,0.851,5,0,8,0,0,1,0,0
CASS,Thomas Gordon,AUS,1,SUPER ROUND,2,20,1,6,0,0,1,2,9,0.3,0.45,0.333,0.783,1,0,5,0,0,0,0,0
CASTELLANOS SAMAYOA,Julio Hector,NTW,11,PLACEMENT ROUND,13,10,1,2,0,0,0,1,2,0.2,0.2,0.182,0.382,0,0,4,0,1,1,0,0
CASTILLO HERNANDEZ,Juan David,VEN,8,PLACEMENT ROUND,8,10,1,1,0,1,0,0,3,0.1,0.3,0.182,0.482,0,1,4,0,0,0,0,0
CASTILLO,Henry,NTW,11,PLACEMENT ROUND,13,18,3,4,1,1,0,0,7,0.222,0.389,0.263,0.652,1,0,6,0,0,0,0,0
CHEOH,Shun Kai,SGP,9,PLACEMENT ROUND,12,2,1,1,0,0,1,3,4,0.5,2,0.667,2.667,1,0,1,0,0,0,0,0
CHIA,Audric,SGP,9,PLACEMENT ROUND,12,21,4,5,1,0,0,3,6,0.238,0.286,0.36,0.646,2,2,10,0,0,0,0,0
CHIRINOS VASQUEZ,Michell Asdrubal,VEN,8,PLACEMENT ROUND,8,17,1,6,0,2,0,3,10,0.353,0.588,0.421,1.009,0,2,5,0,0,0,0,0
CLARK,Oscar,NZL,6,SUPER ROUND,7,11,2,1,0,0,0,0,1,0.091,0.091,0.231,0.322,2,0,5,0,0,2,4,0
COLMENAREZ QUERALES,Yeferson Jesus,VEN,8,PLACEMENT ROUND,8,18,3,3,1,1,0,2,6,0.167,0.333,0.318,0.651,4,0,10,0,0,1,1,1
COOPER-NICOLA,Te Kirika,NZL,6,SUPER ROUND,7,14,3,2,1,0,0,1,3,0.143,0.214,0.2,0.414,1,0,8,0,0,0,3,0
CREASY,Damon,NZL,6,SUPER ROUND,7,20,4,7,2,0,0,3,9,0.35,0.45,0.48,0.93,3,2,6,0,0,0,1,2
CROFT,Tyler Ashley,RSA,12,PLACEMENT ROUND,14,18,1,3,1,1,0,1,6,0.167,0.333,0.286,0.619,3,0,11,0,0,1,0,0
DABUSH,Itai,ISR,10,PLACEMENT ROUND,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
DAVIES,Huw Griffyn,NZL,6,SUPER ROUND,7,22,3,6,0,0,1,5,9,0.273,0.409,0.333,0.742,2,0,8,0,0,0,1,0
DEL CID NATARENO,Nery Arnoldo Jr.,NTW,11,PLACEMENT ROUND,13,19,3,11,2,1,0,3,15,0.579,0.789,0.6,1.389,1,0,0,0,0,0,1,0
DIAZ MIRANDA,David Antonio,MEX,4,SUPER ROUND,10,8,1,3,1,0,0,2,4,0.375,0.5,0.444,0.944,0,1,4,0,0,0,1,0
DIAZ NUÑEZ,Yeison Jose,VEN,8,PLACEMENT ROUND,8,20,1,6,0,0,0,4,6,0.3,0.3,0.333,0.633,1,0,8,0,0,0,2,0
DOBE,Haydan,AUS,1,SUPER ROUND,2,4,2,1,0,1,0,2,3,0.25,0.75,0.5,1.25,2,0,2,0,0,0,0,0
DUARTE KANTOR,Ben,ISR,10,PLACEMENT ROUND,17,14,2,3,0,0,0,0,3,0.214,0.214,0.267,0.481,1,0,3,0,0,1,0,0
EARLEY,Max,NZL,6,SUPER ROUND,7,17,1,2,0,0,0,1,2,0.118,0.118,0.211,0.329,1,1,7,0,0,0,1,0
EBRAHIM,Dylan Graham,RSA,12,PLACEMENT ROUND,14,12,2,2,0,0,0,0,2,0.167,0.167,0.286,0.453,2,0,3,0,0,0,0,0
EL AMIN,Jannis,CZE,7,PLACEMENT ROUND,6,6,1,2,0,0,0,0,2,0.333,0.333,0.333,0.666,0,0,3,0,0,0,0,0
EU,Ean,SGP,9,PLACEMENT ROUND,12,25,6,8,0,1,2,7,16,0.32,0.64,0.4,1.04,4,0,7,0,1,0,1,0
EVANS,Brock Cody,NZL,6,SUPER ROUND,7,22,2,7,1,0,1,8,11,0.318,0.5,0.348,0.848,1,0,6,0,0,0,3,0
FALCON IZQUIEL,Joiser Olimacd,VEN,8,PLACEMENT ROUND,8,11,3,0,0,0,0,0,0,0,0,0.214,0.214,1,2,4,0,0,0,1,0
FIELD,Ethan,AUS,1,SUPER ROUND,2,19,1,1,0,0,0,0,1,0.053,0.053,0.053,0.106,0,0,8,0,0,1,1,0
FLORES DEL VALLE,Junior Alexis,MEX,4,SUPER ROUND,10,21,7,6,0,0,2,5,12,0.286,0.571,0.385,0.956,1,3,8,0,1,1,1,0
FOREBERG ZEPELVITCH,Liam,ISR,10,PLACEMENT ROUND,17,10,0,0,0,0,0,0,0,0,0,0.167,0.167,2,0,3,0,0,0,0,0
FORMAN,Vojt?ch,CZE,7,PLACEMENT ROUND,6,11,1,1,0,0,0,0,1,0.091,0.091,0.231,0.322,2,0,6,1,0,0,0,0
GALVEZ-SOBRAL,José,NTW,11,PLACEMENT ROUND,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
GARCÍA GUTIÉRREZ,Victor Fernando,NTW,11,PLACEMENT ROUND,13,9,0,1,1,0,0,0,2,0.111,0.222,0.111,0.333,0,0,5,0,0,0,0,0
GARCIA MAZON,Hector Rene,MEX,4,SUPER ROUND,10,14,2,2,2,0,0,1,4,0.143,0.286,0.2,0.486,1,0,6,0,0,0,1,1
GARLAND,Jeremy,AUS,1,SUPER ROUND,2,24,2,4,1,1,1,4,10,0.167,0.417,0.2,0.617,1,0,11,0,0,0,2,0
GAROLI,Juan Cruz,ARG,3,SUPER ROUND,1,23,5,6,2,0,2,6,14,0.261,0.609,0.346,0.955,2,1,7,0,0,0,0,0
GIMENEZ RAMOS,Jesus Enrique,VEN,8,PLACEMENT ROUND,8,22,4,6,0,0,0,2,6,0.273,0.273,0.36,0.633,3,0,8,0,0,1,1,0
GOFFER,Ashlee,AUS,1,SUPER ROUND,2,23,4,5,0,0,1,6,8,0.217,0.348,0.25,0.598,1,0,9,0,0,0,0,0
GOFFER,Shannon,AUS,1,SUPER ROUND,2,9,3,3,1,0,0,0,4,0.333,0.444,0.333,0.777,0,0,3,0,0,1,0,0
GONZÁLEZ,Dilan,NTW,11,PLACEMENT ROUND,13,8,0,1,0,0,0,0,1,0.125,0.125,0.222,0.347,1,0,4,0,0,0,1,1
GUERRA,Diego,NTW,11,PLACEMENT ROUND,13,11,0,2,0,0,0,1,2,0.182,0.182,0.25,0.432,0,1,5,0,0,0,0,0
GUEVARA AGUILERA,Davinson Daniel,VEN,8,PLACEMENT ROUND,8,12,2,2,0,0,0,0,2,0.167,0.167,0.286,0.453,2,0,2,0,0,0,0,0
GUTIERREZ NADAL,Nishell Valentino,VEN,8,PLACEMENT ROUND,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
HADAR,Shani,ISR,10,PLACEMENT ROUND,17,15,1,4,0,0,1,2,7,0.267,0.467,0.267,0.734,0,0,5,0,0,0,0,0
HAJNÝ,Jakub,CZE,7,PLACEMENT ROUND,6,17,7,7,0,0,3,8,16,0.412,0.941,0.429,1.37,2,0,4,0,2,1,0,0
HAMADA,Shin,JPN,2,SUPER ROUND,3,8,1,1,0,1,0,1,3,0.125,0.375,0.125,0.5,0,0,3,0,0,0,0,0
HANEGBI,Omer,ISR,10,PLACEMENT ROUND,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HARRIS,George,CZE,7,PLACEMENT ROUND,6,22,6,6,0,2,1,5,13,0.273,0.591,0.36,0.951,2,1,9,1,0,0,0,0
HARROW,Matthew,AUS,1,SUPER ROUND,2,24,2,4,0,0,0,1,4,0.167,0.167,0.2,0.367,1,0,6,1,0,0,0,0
HATTINGH,Rian Johannes,RSA,12,PLACEMENT ROUND,14,22,1,1,0,0,0,1,1,0.045,0.045,0.083,0.128,1,0,8,2,1,1,0,0
HLAVÁ?,Jan,CZE,7,PLACEMENT ROUND,6,2,0,1,0,0,0,0,1,0.5,0.5,0.667,1.167,0,1,1,0,0,0,0,0
HUDSON,Jordan,CAN,5,SUPER ROUND,4,6,0,0,0,0,0,0,0,0,0,0.143,0.143,1,0,4,0,0,0,0,0
IMRAN,Askari Bin,SGP,9,PLACEMENT ROUND,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
INOUE,Yutaro,JPN,2,SUPER ROUND,3,7,0,1,0,0,0,1,1,0.143,0.143,0.25,0.393,1,0,2,0,0,0,1,0
JAMES,Riley,AUS,1,SUPER ROUND,2,22,6,7,1,3,0,2,14,0.318,0.636,0.464,1.1,6,0,4,0,0,0,0,0
KEKANA,Ronaldo Nkapeshe,RSA,12,PLACEMENT ROUND,14,14,0,0,0,0,0,0,0,0,0,0.067,0.067,1,0,10,0,0,1,0,0
KIKUKAWA,Tomoki,JPN,2,SUPER ROUND,3,24,5,7,1,1,1,2,13,0.292,0.542,0.485,1.027,7,2,6,0,0,0,0,0
KING,Ryan,AUS,1,SUPER ROUND,2,22,3,7,1,0,2,7,14,0.318,0.636,0.348,0.984,1,0,9,0,0,0,0,0
KIPFER,Dallas William Robert,CAN,5,SUPER ROUND,4,12,0,2,0,0,0,1,2,0.167,0.167,0.167,0.334,0,0,8,0,0,0,0,0
KOH,Max,SGP,9,PLACEMENT ROUND,12,14,3,3,1,0,0,2,4,0.214,0.286,0.353,0.639,1,2,6,0,0,0,0,0
KUBÁT,Lukáš,CZE,7,PLACEMENT ROUND,6,14,2,4,0,0,0,1,4,0.286,0.286,0.333,0.619,1,0,4,0,0,1,0,2
KUROIWA,Haruto,JPN,2,SUPER ROUND,3,5,0,0,0,0,0,1,0,0,0,0.167,0.167,1,0,2,0,0,0,0,0
KUTNIKOFF,Matthew David,CAN,5,SUPER ROUND,4,13,1,1,0,0,0,0,1,0.077,0.077,0.25,0.327,3,0,5,1,0,1,0,0
LEDWABA,Sebotse Lucas,RSA,12,PLACEMENT ROUND,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
LEFEBVRE,Isaac,CAN,5,SUPER ROUND,4,21,5,6,2,1,1,3,13,0.286,0.619,0.375,0.994,2,1,6,0,0,0,2,0
LEON YEPEZ,Jose Miguel,VEN,8,PLACEMENT ROUND,8,21,1,4,1,1,0,3,7,0.19,0.333,0.227,0.56,1,0,2,0,0,0,0,0
LEON,Adi,ISR,10,PLACEMENT ROUND,17,9,1,0,0,0,0,0,0,0,0,0.25,0.25,3,0,6,0,0,0,0,0
LEON,Kfir,ISR,10,PLACEMENT ROUND,17,16,3,5,1,0,1,2,9,0.313,0.563,0.389,0.952,2,0,8,0,0,0,0,0
LIM,Matthew Jing Xiang,SGP,9,PLACEMENT ROUND,12,19,1,1,0,0,0,3,1,0.053,0.053,0.143,0.196,2,0,11,0,0,0,0,0
LOW,Zu Ray,SGP,9,PLACEMENT ROUND,12,19,3,4,0,1,0,2,6,0.211,0.316,0.375,0.691,5,0,5,0,0,0,1,0
LUBIEJEWSKI,Joshua,NZL,6,SUPER ROUND,7,4,2,2,0,0,0,2,2,0.5,0.5,0.667,1.167,2,0,1,0,0,0,1,0
LUNA,Khalil,ARG,3,SUPER ROUND,1,18,2,4,0,0,1,4,7,0.222,0.389,0.263,0.652,1,0,9,0,0,0,0,0
LU?ÁK,Adam,CZE,7,PLACEMENT ROUND,6,15,0,0,0,0,0,0,0,0,0,0.063,0.063,0,1,8,0,0,0,0,0
LYNCH,Nathan,AUS,1,SUPER ROUND,2,4,1,0,0,0,0,1,0,0,0,0.2,0.2,1,0,2,0,0,0,0,0
MACHUCA,Lautaro Tomás,ARG,3,SUPER ROUND,1,12,4,2,0,0,0,2,2,0.167,0.167,0.286,0.453,1,1,4,1,0,1,1,0
MAGULA,Martin,CZE,7,PLACEMENT ROUND,6,21,6,4,0,0,1,2,7,0.19,0.333,0.37,0.703,6,0,7,0,0,0,0,0
MAKISI,Tobias Eoin Pala,NZL,6,SUPER ROUND,7,9,0,2,0,0,0,1,2,0.222,0.222,0.3,0.522,1,0,2,0,0,0,0,0
MAKOLOMAKOE,Kamogetswe Ofentse,RSA,12,PLACEMENT ROUND,14,19,0,4,0,0,0,0,4,0.211,0.211,0.25,0.461,1,0,9,0,0,2,1,0
MALEMATJA,Kiddo Mahlatse,RSA,12,PLACEMENT ROUND,14,20,4,5,0,1,0,3,7,0.25,0.35,0.375,0.725,3,1,8,1,0,0,0,0
MARTINEZ GARZA,Jorge Alberto,MEX,4,SUPER ROUND,10,23,3,6,4,0,0,4,10,0.261,0.435,0.32,0.755,1,1,8,1,0,1,0,0
MARTINEZ LOPEZ,Alexander Gabriel,VEN,8,PLACEMENT ROUND,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
MATSUMOTO,Yoshinari,JPN,2,SUPER ROUND,3,26,5,7,1,2,0,4,12,0.269,0.462,0.367,0.829,3,1,6,0,0,0,2,0
MATSUO,Shoki,JPN,2,SUPER ROUND,3,25,4,5,2,1,0,5,9,0.2,0.36,0.286,0.646,3,0,5,1,0,0,0,0
MCKAY,Mason,CAN,5,SUPER ROUND,4,8,3,2,0,1,0,4,4,0.25,0.5,0.455,0.955,2,1,4,0,0,0,0,0
MCKAY,Mitchell Alexander,CAN,5,SUPER ROUND,4,17,2,5,0,0,0,2,5,0.294,0.294,0.52,0.814,8,0,2,0,0,0,1,0
MEDINA GONZALEZ,Jesus Isaac,MEX,4,SUPER ROUND,10,10,2,2,1,0,0,0,3,0.2,0.3,0.2,0.5,0,0,2,0,0,0,0,0
MEDINA VIERA,Haroldo Javier,NTW,11,PLACEMENT ROUND,13,22,2,3,0,0,0,0,3,0.136,0.136,0.136,0.272,0,0,6,0,0,0,0,0
MEDINA,Juan,NTW,11,PLACEMENT ROUND,13,7,2,1,1,0,0,0,2,0.143,0.286,0.333,0.619,2,0,3,0,0,0,0,0
MIYAMOTO,Kaito,JPN,2,SUPER ROUND,3,29,3,7,3,1,0,1,12,0.241,0.414,0.29,0.704,1,1,4,1,0,0,0,0
MONJES RIVERO,Denny Jose,VEN,8,PLACEMENT ROUND,8,17,1,3,0,1,0,3,5,0.176,0.294,0.3,0.594,3,0,5,0,0,0,0,0
MORALES,Diego,NTW,11,PLACEMENT ROUND,13,14,1,2,0,0,0,2,2,0.143,0.143,0.294,0.437,2,1,4,0,0,1,0,0
MOTOZUKA,Yuta,JPN,2,SUPER ROUND,3,20,3,5,1,0,0,2,6,0.25,0.3,0.25,0.55,0,0,0,0,0,0,2,0
MUMU,Tane,NZL,6,SUPER ROUND,7,22,7,3,1,1,0,1,6,0.136,0.273,0.321,0.594,5,1,6,0,0,1,2,1
MUÑOZ,Alejo Martín,ARG,3,SUPER ROUND,1,17,2,4,0,0,0,1,4,0.235,0.235,0.278,0.513,1,0,7,0,0,0,1,0
NAGAYOSHI,Hitto,JPN,2,SUPER ROUND,3,17,1,4,1,0,0,2,5,0.235,0.294,0.235,0.529,0,0,4,0,0,0,1,0
NISHIMORI,Ayumu,JPN,2,SUPER ROUND,3,10,2,2,0,0,0,0,2,0.2,0.2,0.333,0.533,1,1,5,0,0,0,1,0
NKUNE,Kwena Gerald,RSA,12,PLACEMENT ROUND,14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
NOLA,Floyd Marijan,NZL,6,SUPER ROUND,7,12,4,2,0,0,0,1,2,0.167,0.167,0.333,0.5,2,1,5,0,0,0,0,0
NYLAND,Reece,RSA,12,PLACEMENT ROUND,14,20,3,3,0,0,0,0,3,0.15,0.15,0.292,0.442,4,0,5,0,0,1,0,0
OKAWA,Ryuji,JPN,2,SUPER ROUND,3,23,4,6,2,1,0,3,10,0.261,0.435,0.346,0.781,3,0,6,0,0,0,2,0
ONISHI,Taiga,JPN,2,SUPER ROUND,3,5,0,1,0,0,0,1,1,0.2,0.2,0.286,0.486,0,1,0,0,1,0,0,0
ONODERA,Shota,JPN,2,SUPER ROUND,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
PAZ,Alon,ISR,10,PLACEMENT ROUND,17,14,0,2,0,0,0,0,2,0.143,0.143,0.2,0.343,0,1,2,0,0,0,0,0
PEKER,Alan,ARG,3,SUPER ROUND,1,21,8,5,0,1,1,4,10,0.238,0.476,0.36,0.836,3,1,8,0,0,0,2,0
PENUELAS,Abelardo,MEX,4,SUPER ROUND,10,25,4,5,0,0,0,0,5,0.2,0.2,0.31,0.51,4,0,2,0,0,0,3,1
PINTOS,Ramiro,ARG,3,SUPER ROUND,1,5,0,0,0,0,0,0,0,0,0,0.167,0.167,1,0,4,0,0,0,0,0
PLATNER,Juan Ignacio,ARG,3,SUPER ROUND,1,16,2,4,1,0,0,4,5,0.25,0.313,0.294,0.607,1,0,8,0,0,1,0,0
PLETSCHKE,Nathan,RSA,12,PLACEMENT ROUND,14,19,1,4,1,0,0,2,5,0.211,0.263,0.318,0.581,3,0,11,0,0,0,0,0
POMEROY,Jordan William,CAN,5,SUPER ROUND,4,19,3,2,0,0,0,2,2,0.105,0.105,0.261,0.366,2,2,5,0,0,0,0,0
PONCE VILLATORO,Sebastian,NTW,11,PLACEMENT ROUND,13,14,0,1,0,0,0,1,1,0.071,0.071,0.133,0.204,0,1,10,0,0,0,0,1
RAMOS PEZZAROSSI,Juan Sebastián,NTW,11,PLACEMENT ROUND,13,12,1,1,1,0,0,0,2,0.083,0.167,0.154,0.321,1,0,8,0,0,0,0,0
RETAMAR,Lucio,ARG,3,SUPER ROUND,1,24,2,5,0,0,0,5,5,0.208,0.208,0.269,0.477,0,2,8,0,0,0,2,0
RODRIGUEZ VALDEZ,Luis Julian,MEX,4,SUPER ROUND,10,23,2,5,2,1,1,6,12,0.217,0.522,0.28,0.802,2,0,4,0,0,0,2,0
ROJAS,Alejandro,NTW,11,PLACEMENT ROUND,13,9,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,5,0,0,0,0,0
ROMERO VARGAS,Jesus Alberto,MEX,4,SUPER ROUND,10,7,1,2,0,0,0,1,2,0.286,0.286,0.375,0.661,1,0,2,0,0,1,1,0
ROSS,Seth Benjamin,ISR,10,PLACEMENT ROUND,17,17,2,2,0,1,0,0,4,0.118,0.235,0.211,0.446,2,0,6,0,0,0,0,0
RYŠAVÝ,Mat?j,CZE,7,PLACEMENT ROUND,6,8,0,0,0,0,0,0,0,0,0,0.111,0.111,1,0,4,0,0,0,0,0
SACHS,Avinoam,ISR,10,PLACEMENT ROUND,17,7,1,1,0,0,0,0,1,0.143,0.143,0.143,0.286,0,0,4,1,0,0,0,0
SAGE,Xavier,NZL,6,SUPER ROUND,7,11,3,4,0,0,0,2,4,0.364,0.364,0.385,0.749,0,1,3,0,1,0,1,0
SATO,Koki,JPN,2,SUPER ROUND,3,21,5,9,1,0,0,3,10,0.429,0.476,0.5,0.976,2,1,8,0,0,0,1,0
SCHÖNFELD,Martin Gabriel,ARG,3,SUPER ROUND,1,13,2,2,0,0,0,1,2,0.154,0.154,0.353,0.507,3,1,6,0,0,3,1,1
SCIALACOMO,Gian,ARG,3,SUPER ROUND,1,22,6,6,0,0,0,0,6,0.273,0.273,0.36,0.633,3,0,6,0,0,0,3,0
SEGAL,Avi,ISR,10,PLACEMENT ROUND,17,8,0,0,0,0,0,0,0,0,0,0.111,0.111,1,0,5,0,0,0,0,0
SEHLOHO,Maleho,RSA,12,PLACEMENT ROUND,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
SHANNON,Ethan Lewis,NZL,6,SUPER ROUND,7,8,0,0,0,0,0,0,0,0,0,0.111,0.111,0,1,3,0,0,0,0,0
SHIRLEY,James Glenn Arnold,CAN,5,SUPER ROUND,4,10,1,2,0,1,0,1,4,0.2,0.4,0.273,0.673,0,1,5,1,0,0,0,0
SHRIM,Bar-Arie,ISR,10,PLACEMENT ROUND,17,18,3,5,1,0,2,5,12,0.278,0.667,0.381,1.048,2,1,4,0,0,0,1,1
SMITH,Cody,AUS,1,SUPER ROUND,2,11,2,2,0,0,1,1,5,0.182,0.455,0.25,0.705,1,0,4,0,0,0,0,0
SOLORIO,Jordan,MEX,4,SUPER ROUND,10,26,4,8,2,0,1,1,13,0.308,0.5,0.4,0.9,4,0,3,1,0,0,0,0
SONORA PRADO,Jesus Alfredo,MEX,4,SUPER ROUND,10,4,3,0,0,0,0,0,0,0,0,0.2,0.2,1,0,1,0,0,0,1,0
STACK,Mark Edward,CAN,5,SUPER ROUND,4,19,2,4,0,1,0,2,6,0.211,0.316,0.238,0.554,0,1,3,0,1,0,0,0
STEWART,Caleb Ackerley,NZL,6,SUPER ROUND,7,3,0,1,0,0,0,0,1,0.333,0.333,0.333,0.666,0,0,1,0,0,0,1,0
ŠUCHA,Adam,CZE,7,PLACEMENT ROUND,6,6,1,0,0,0,0,0,0,0,0,0.143,0.143,1,0,4,0,0,0,0,0
TAN,Elliot Ri Sheng,SGP,9,PLACEMENT ROUND,12,16,4,2,0,1,0,0,4,0.125,0.25,0.364,0.614,5,1,6,0,0,0,0,0
TAN,Joshua Ri Ming,SGP,9,PLACEMENT ROUND,12,18,6,4,0,0,2,4,10,0.222,0.556,0.462,1.018,8,0,10,0,0,0,0,0
TAN,"Tai Jin, Jeron",SGP,9,PLACEMENT ROUND,12,17,1,4,0,0,0,1,4,0.235,0.235,0.35,0.585,1,2,5,2,0,1,0,0
TAY,Terrence,SGP,9,PLACEMENT ROUND,12,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
THLABANELO,Tsatsi,RSA,12,PLACEMENT ROUND,14,9,0,1,0,0,0,1,1,0.111,0.111,0.111,0.222,0,0,6,1,0,0,0,0
TIEN,Yu,SGP,9,PLACEMENT ROUND,12,8,3,1,0,0,0,2,1,0.125,0.125,0.3,0.425,1,1,3,0,0,1,0,0
TORRES LAGUNA,Iran Francisco,MEX,4,SUPER ROUND,10,16,4,5,1,0,1,6,9,0.313,0.563,0.45,1.013,3,1,8,0,0,0,1,1
TORRIE,Owen Graham,CAN,5,SUPER ROUND,4,11,1,1,0,0,0,0,1,0.091,0.091,0.091,0.182,0,0,2,0,0,0,0,0
TUPANO LUGO,Xiomar Alexander,VEN,8,PLACEMENT ROUND,8,8,0,0,0,0,0,0,0,0,0,0.111,0.111,1,0,6,0,0,1,0,0
VAN DE GRIENDT,Caleb,AUS,1,SUPER ROUND,2,11,0,2,0,0,0,0,2,0.182,0.182,0.308,0.49,2,0,5,0,0,0,0,0
VAŠÍ?EK,Jakub,CZE,7,PLACEMENT ROUND,6,17,2,2,0,0,0,2,2,0.118,0.118,0.211,0.329,2,0,6,0,0,1,0,1
VILLALOBOS ACOSTA,Alejandro,MEX,4,SUPER ROUND,10,15,1,2,0,0,0,1,2,0.133,0.133,0.133,0.266,0,0,6,0,0,0,0,0
VOLF,Marek,CZE,7,PLACEMENT ROUND,6,9,1,2,0,0,0,0,2,0.222,0.222,0.3,0.522,1,0,4,0,0,2,0,0
WALK,Lincoln,AUS,1,SUPER ROUND,2,2,1,1,0,0,0,0,1,0.5,0.5,0.5,1,0,0,1,0,0,0,0,0
WATERS,Jeremy,AUS,1,SUPER ROUND,2,16,2,2,0,0,0,1,2,0.125,0.125,0.364,0.489,5,1,7,0,0,1,3,0
WENTZEL,Joshua Lee,RSA,12,PLACEMENT ROUND,14,15,2,1,0,0,0,1,1,0.067,0.067,0.333,0.4,6,0,10,0,0,2,0,0
WHITE,Cameron,AUS,1,SUPER ROUND,2,6,0,0,0,0,0,0,0,0,0,0.143,0.143,1,0,2,0,0,0,0,0
WIEBE,Brant Daniel,CAN,5,SUPER ROUND,4,16,2,3,2,0,0,1,5,0.188,0.313,0.316,0.629,3,0,6,0,0,1,0,0
XUYA SAM,Daniel Alejandro,NTW,11,PLACEMENT ROUND,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
XUYA SAM,Luis Enrique,NTW,11,PLACEMENT ROUND,13,16,0,3,0,0,0,2,3,0.188,0.188,0.188,0.376,0,0,7,0,0,0,0,0
YAGI,Koki,JPN,2,SUPER ROUND,3,4,0,1,1,0,0,1,2,0.25,0.5,0.25,0.75,0,0,0,0,0,0,0,0
ZANUTTINI,Conrado,ARG,3,SUPER ROUND,1,20,3,8,2,0,0,4,10,0.4,0.5,0.455,0.955,2,0,7,0,0,0,1,0
ZEPEDA CORDOVA,Manuel Alejandro,MEX,4,SUPER ROUND,10,23,0,4,0,0,0,1,4,0.174,0.174,0.174,0.348,0,0,7,0,0,0,1,0
